                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6511,                 3.6946,                 4.2556,                 0.0035,                  0.328,                 0.0063,                0.00234,                  3.461,                 4.0262,                 4.1518,                0.00048,                0.00048,                0.00048
                      2,                 3.4697,                 3.4685,                 4.0542,                0.00359,                  0.328,                0.00687,                0.00196,                 3.6827,                 4.1242,                 4.2684,              0.0009703,              0.0009703,              0.0009703
                      3,                 3.2742,                  3.376,                 3.7573,                0.00288,                  0.272,                0.00528,                0.00097,                 4.2067,                  3.918,                 4.8035,              0.0014507,              0.0014507,              0.0014507
                      4,                 3.1648,                 3.3477,                 3.5095,                0.00885,                  0.184,                0.02946,                0.00706,                 3.9816,                 3.9917,                 5.4816,              0.0019212,              0.0019212,              0.0019212
                      5,                 3.0804,                 3.2255,                 3.3268,                0.04804,                  0.016,                0.00941,                0.00265,                 3.5867,                 4.9645,                 4.3174,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.9633,                 3.1243,                 3.2523,                0.08581,                  0.096,                0.04155,                 0.0095,                 3.0657,                  3.959,                 3.5152,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.0022,                 3.1714,                 3.1926,                0.04262,                  0.088,                0.01605,                0.00322,                 3.1209,                 7.3701,                 3.4419,               0.001901,               0.001901,               0.001901
                      8,                 2.9461,                 3.0976,                 3.1289,                0.00442,                  0.056,                0.00385,                0.00172,                  4.096,                 4.6139,                 4.2439,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.8792,                 3.0639,                 3.0754,                0.09129,                  0.064,                0.02919,                0.00836,                 3.0889,                 3.7487,                 3.4887,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.8278,                 2.9617,                 2.9914,                0.10964,                  0.064,                0.04108,                0.01082,                 2.9115,                 6.2966,                 3.0983,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.7332,                 2.9047,                 2.9302,                0.12404,                  0.096,                 0.0423,                0.01447,                 2.8394,                 5.3642,                 3.0896,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.7063,                 2.9035,                 2.9409,                0.07848,                  0.112,                0.03898,                0.01187,                 2.8501,                 6.3754,                 3.0503,               0.001802,               0.001802,               0.001802
                     13,                 2.5795,                 2.7646,                   2.82,                0.18053,                  0.176,                0.08418,                0.03174,                 2.6188,                 2.9452,                  2.877,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.5543,                  2.748,                  2.798,                 0.1124,                   0.12,                0.05363,                0.01835,                 2.8013,                 3.2058,                 3.0505,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.5007,                 2.6745,                 2.7053,                  0.174,                  0.152,                0.08985,                0.03098,                 2.5227,                   2.85,                 2.7781,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.4599,                 2.7077,                 2.6556,                0.15516,                  0.192,                0.10678,                0.03604,                 2.5709,                 2.8265,                 2.8229,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.3731,                  2.612,                 2.6423,                0.19162,                  0.208,                0.14636,                 0.0619,                 2.4116,                 2.6382,                 2.7283,               0.001703,               0.001703,               0.001703
                     18,                 2.3887,                 2.5674,                 2.5922,                  0.153,                   0.24,                0.10918,                0.04586,                 2.3397,                 2.7922,                 2.6345,              0.0016832,              0.0016832,              0.0016832
                     19,                  2.346,                 2.5497,                 2.5694,                0.25114,                0.24148,                0.16554,                0.06896,                 2.5099,                 2.6665,                 2.8115,              0.0016634,              0.0016634,              0.0016634
