                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4201,                 3.5534,                 4.0068,                0.00617,                0.27969,                0.00791,                0.00252,                 3.8506,                  3.838,                 4.5405,             0.00066077,             0.00066077,             0.00066077
                      2,                 2.9996,                 3.1785,                 3.2961,                0.04408,                0.11732,                0.01625,                0.00431,                 3.1584,                   5.34,                 3.4977,              0.0013143,              0.0013143,              0.0013143
                      3,                 2.6471,                 2.9336,                 2.9362,                0.09377,                  0.164,                0.04411,                0.01464,                  2.572,                  3.262,                 2.9454,              0.0019546,              0.0019546,              0.0019546
                      4,                 2.4051,                 2.7511,                 2.7105,                0.22959,                0.20434,                0.12132,                0.04282,                 2.3475,                 2.9252,                  2.687,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2494,                 2.5771,                 2.5309,                0.24308,                0.23137,                0.15282,                0.06005,                 2.2152,                 2.8131,                 2.5071,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.0964,                 2.4211,                 2.3584,                0.40384,                0.27621,                0.23799,                 0.1129,                 2.0105,                 2.3811,                 2.3172,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.0173,                 2.3111,                 2.2845,                0.40115,                0.28194,                0.26125,                0.12304,                 2.0586,                 2.3558,                 2.3407,               0.001901,               0.001901,               0.001901
                      8,                  1.945,                 2.1876,                 2.2006,                0.36865,                0.28337,                0.24042,                0.10873,                 2.0387,                 2.4374,                 2.2921,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.8872,                 2.1093,                 2.1274,                 0.4914,                0.31347,                0.32552,                0.17242,                 1.8839,                 2.1277,                 2.1517,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.8447,                 2.0634,                  2.091,                0.42721,                0.32985,                0.30953,                 0.1599,                 1.8587,                 2.1369,                  2.111,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.8098,                 1.9872,                 2.0525,                0.45556,                0.34705,                0.31541,                0.15018,                 1.9198,                 2.2138,                 2.1941,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.7646,                 1.9581,                 2.0067,                0.58943,                0.38653,                0.41282,                0.22393,                 1.7805,                 1.9294,                 2.0441,               0.001802,               0.001802,               0.001802
                     13,                 1.7315,                 1.8812,                 1.9764,                0.57664,                0.38493,                0.42348,                0.23244,                 1.7461,                 1.8522,                 2.0072,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6919,                 1.8483,                 1.9368,                0.61513,                0.40233,                0.45677,                 0.2608,                 1.7094,                 1.7985,                 1.9609,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6865,                 1.8399,                 1.9383,                0.62049,                0.41319,                0.46895,                0.26973,                 1.6585,                  1.739,                 1.9307,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6592,                  1.772,                 1.9076,                0.59071,                0.44533,                0.48158,                0.28065,                  1.617,                 1.7072,                 1.8841,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6258,                 1.7372,                 1.8645,                0.63394,                0.43038,                0.48374,                0.28415,                 1.6111,                  1.674,                 1.8684,               0.001703,               0.001703,               0.001703
                     18,                 1.5959,                 1.6825,                  1.834,                0.62625,                0.45025,                0.49895,                0.29666,                 1.5905,                 1.6323,                 1.8505,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5735,                 1.6609,                 1.8183,                0.60675,                0.44533,                0.48212,                0.27865,                 1.6454,                  1.689,                 1.8852,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5732,                 1.6729,                 1.8209,                0.60866,                0.45659,                0.49557,                0.29638,                 1.5632,                 1.5958,                 1.8136,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.5586,                 1.6112,                 1.7912,                 0.6214,                0.47174,                 0.5203,                0.31864,                 1.5222,                 1.5499,                 1.7906,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5354,                 1.6181,                 1.7794,                0.62728,                0.46765,                0.51823,                0.31513,                 1.5153,                 1.5408,                  1.779,               0.001604,               0.001604,               0.001604
                     23,                  1.517,                 1.5808,                 1.7665,                0.63516,                0.47801,                0.52264,                0.31758,                  1.532,                  1.544,                 1.7952,              0.0015842,              0.0015842,              0.0015842
